county,stateid,Total_Cases
Autauga,01,756
Baldwin,01,1518
Barbour,01,441
Bibb,01,242
Blount,01,389
Bullock,01,386
Butler,01,664
Calhoun,01,655
Chambers,01,718
Cherokee,01,145
Chilton,01,379
Choctaw,01,223
Clarke,01,340
Clay,01,94
Cleburne,01,62
Coffee,01,482
Colbert,01,623
Conecuh,01,258
Coosa,01,68
Covington,01,485
Crenshaw,01,147
Cullman,01,723
Dale,01,431
Dallas,01,1053
DeKalb,01,1155
Elmore,01,1143
Escambia,01,569
Etowah,01,1154
Fayette,01,96
Franklin,01,975
Geneva,01,110
Greene,01,202
Hale,01,380
Henry,01,167
Houston,01,699
Jackson,01,517
Jefferson,01,7540
Lamar,01,97
Lauderdale,01,667
Lawrence,01,162
Lee,01,1845
Limestone,01,731
Lowndes,01,502
Macon,01,241
Madison,01,2942
Marengo,01,383
Marion,01,359
Marshall,01,2149
Mobile,01,5375
Monroe,01,292
Montgomery,01,4783
Morgan,01,1506
Perry,01,273
Pickens,01,285
Pike,01,507
Randolph,01,292
Russell,01,770
St. Clair,01,688
Shelby,01,1923
Sumter,01,307
Talladega,01,485
Tallapoosa,01,676
Tuscaloosa,01,2861
Walker,01,1152
Washington,01,170
Wilcox,01,335
Winston,01,320
Aleutians East,02,0
Aleutians West,02,1
Anchorage,02,790
Bethel,02,16
Bristol Bay,02,0
Denali,02,0
Dillingham,02,0
Fairbanks North Star,02,267
Haines,02,2
Hoonah-Angoon,02,0
Juneau,02,53
Kenai Peninsula,02,209
Ketchikan Gateway,02,23
Kodiak Island,02,5
Kusilvak,02,2
Lake and Peninsula,02,0
Matanuska-Susitna,02,161
Nome,02,15
North Slope,02,5
Northwest Arctic,02,7
Petersburg,02,6
Prince of Wales-Hyder,02,2
Sitka,02,11
Skagway,02,0
Southeast Fairbanks,02,3
Valdez-Cordova,02,0
Wade Hampton,02,0
Wrangell,02,3
Yakutat,02,0
Yukon-Koyukuk,02,2
Apache,04,2644
Cochise,04,1131
Coconino,04,2532
Gila,04,479
Graham,04,221
Greenlee,04,38
La Paz,04,422
Maricopa,04,86483
Mohave,04,2045
Navajo,04,4529
Pima,04,12406
Pinal,04,6118
Santa Cruz,04,2226
Yavapai,04,1229
Yuma,04,8851
Arkansas,05,73
Ashley,05,114
Baxter,05,34
Benton,05,3598
Boone,05,66
Bradley,05,85
Calhoun,05,4
Carroll,05,239
Chicot,05,229
Clark,05,80
Clay,05,84
Cleburne,05,138
Cleveland,05,39
Columbia,05,114
Conway,05,103
Craighead,05,626
Crawford,05,296
Crittenden,05,893
Cross,05,103
Dallas,05,14
Desha,05,86
Drew,05,98
Faulkner,05,830
Franklin,05,34
Fulton,05,18
Garland,05,366
Grant,05,64
Greene,05,156
Hempstead,05,96
Hot Spring,05,1300
Howard,05,157
Independence,05,83
Izard,05,26
Jackson,05,43
Jefferson,05,917
Johnson,05,444
Lafayette,05,32
Lawrence,05,121
Lee,05,851
Lincoln,05,1052
Little River,05,54
Logan,05,91
Lonoke,05,218
Madison,05,223
Marion,05,14
Miller,05,293
Mississippi,05,357
Monroe,05,26
Montgomery,05,8
Nevada,05,112
Newton,05,13
Ouachita,05,37
Perry,05,36
Phillips,05,192
Pike,05,23
Poinsett,05,79
Polk,05,94
Pope,05,729
Prairie,05,39
Pulaski,05,3298
Randolph,05,83
St. Francis,05,926
Saline,05,521
Scott,05,18
Searcy,05,17
Sebastian,05,981
Sevier,05,822
Sharp,05,72
Stone,05,23
Union,05,284
Van Buren,05,37
Washington,05,4778
White,05,157
Woodruff,05,14
Yell,05,873
Alameda,06,8478
Alpine,06,2
Amador,06,48
Butte,06,437
Calaveras,06,75
Colusa,06,140
Contra Costa,06,5140
Del Norte,06,61
El Dorado,06,363
Fresno,06,8941
Glenn,06,190
Humboldt,06,175
Imperial,06,8145
Inyo,06,37
Kern,06,6921
Kings,06,3108
Lake,06,133
Lassen,06,35
Los Angeles,06,143009
Madera,06,1054
Marin,06,3120
Mariposa,06,35
Mendocino,06,165
Merced,06,2260
Modoc,06,0
Mono,06,54
Monterey,06,2835
Napa,06,561
Nevada,06,185
Orange,06,27031
Placer,06,1167
Plumas,06,14
Riverside,06,27371
Sacramento,06,6174
San Benito,06,408
San Bernardino,06,21468
San Diego,06,21446
San Francisco,06,4696
San Joaquin,06,7428
San Luis Obispo,06,1112
San Mateo,06,4254
Santa Barbara,06,4412
Santa Clara,06,6951
Santa Cruz,06,602
Shasta,06,215
Sierra,06,1
Siskiyou,06,44
Solano,06,2407
Sonoma,06,1941
Stanislaus,06,5517
Sutter,06,454
Tehama,06,126
Trinity,06,2
Tulare,06,6332
Tuolumne,06,80
Ventura,06,4619
Yolo,06,1023
Yuba,06,231
Adams,08,4916
Alamosa,08,204
Arapahoe,08,5789
Archuleta,08,13
Baca,08,14
Bent,08,5
Boulder,08,1578
Broomfield,08,352
Chaffee,08,123
Cheyenne,08,5
Clear Creek,08,21
Conejos,08,18
Costilla,08,22
Crowley,08,71
Custer,08,7
Delta,08,86
Denver,08,8098
Dolores,08,0
Douglas,08,1224
Eagle,08,795
Elbert,08,67
El Paso,08,3216
Fremont,08,47
Garfield,08,448
Gilpin,08,11
Grand,08,29
Gunnison,08,193
Hinsdale,08,3
Huerfano,08,5
Jackson,08,8
