date,Alabama,Alaska,Arkansas,Arizona,California,Colorado,Conneticut,District Of Columbia,Delaware,Florida,Georgia,Hawai,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Lousiana,Masachusets ,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvenia,Rhode Island,South Carolina,South Dakota,Tennesse,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
10-Apr-20,3007,247,1201,3111,21566,6320,10131,1660,1326,17968,11856,465,1388,1396,17883,6905,1162,1691,19249,20973,6968,585,22781,1245,3794,2465,331,3909,278,646,885,54588,1090,2624,170512,5878,1789,1371,19978,2015,3064,533,4859,12032,2103,4505,679,9884,3068,573,252
11-Apr-20,3262,258,1226,3393,22562,6635,11054,1778,1479,18983,12261,486,1509,1407,19177,7429,1262,1840,20011,22859,7694,615,23990,1427,4023,2640,331,4303,293,703,928,58151,1174,2624,180458,6246,1866,1447,21655,2348,3064,625,5111,12953,2206,5072,711,10222,3213,591,261
12-Apr-20,3581,273,1274,3539,23433,6894,11534,1875,1638,19858,12550,498,1585,1425,20850,7917,1333,1950,20592,25474,8225,632,24637,1618,4158,2781,331,4517,308,757,985,61850,1244,2624,188694,6601,1968,1527,22833,2665,3311,727,5302,13731,2304,5269,727,10410,3341,605,270
13-Apr-20,3801,278,1471,3701,24437,7127,12890,1875,1761,21019,13621,503,1709,1453,22021,8222,1374,2035,21012,26866,8933,696,25634,1647,4383,2940,331,4778,331,832,1019,64655,1345,2624,195031,6969,2061,1583,24196,2976,3438,865,5603,14210,2362,5729,748,10536,3427,631,275
14-Apr-20,3951,286,1495,3798,25859,7288,13456,2058,1926,21625,14567,516,1896,1464,23243,8512,1424,2191,21512,28163,9470,733,27001,1692,4681,3085,331,4988,341,873,1091,68396,1345,2624,202208,7278,2177,1632,25345,3251,3553,985,5816,14620,2416,6165,752,10691,3555,689,282
15-Apr-20,4237,294,1593,3962,27097,7493,14216,2197,2014,22520,15120,529,1994,1587,24592,8941,1492,2278,21942,29918,10031,769,28057,1805,4892,3360,331,5099,365,915,1139,71030,1345,2624,213779,7790,2261,1663,26490,3529,3659,1167,6073,15916,2550,6496,759,10775,3721,718,288
16-Apr-20,4400,301,1615,4234,28126,8675,15350,2350,2075,23340,16144,540,2141,1609,25729,9527,1586,2404,22511,32181,10784,793,29260,1909,5107,3620,413,5374,393,960,1211,75317,1597,3324,222284,8410,2355,1736,27734,3838,3915,1310,6260,16836,2690,6889,768,11148,3874,722,296
17-Apr-20,4515,310,1690,4507,29420,9046,16314,2476,2323,24747,17152,552,2332,1655,27573,10149,1702,2511,23113,34402,11572,826,30020,2068,5272,3789,422,5853,393,1003,1285,78796,1711,3461,229642,9107,2355,1784,29439,4177,4081,1410,6581,17758,2812,7488,779,11444,4044,773,305
18-Apr-20,4719,315,1776,4718,30829,9426,17025,2666,2538,25491,17580,573,2508,1668,29134,10639,1788,2679,23579,36372,12307,846,30789,2207,5508,3972,426,6119,393,1163,1342,81720,1798,3629,236732,10214,2355,1842,31066,4491,4241,1540,6753,18257,2938,8049,802,11800,4195,822,309
19-Apr-20,4897,320,1779,4928,31591,9723,17433,2793,2538,26312,18216,579,2900,1672,30345,11206,1847,2942,23927,38077,12829,866,31418,2347,5653,4273,433,6443,393,1200,1392,85301,1845,3727,242786,11570,2355,1909,32283,4707,4369,1634,7064,19099,3068,8534,811,11889,4342,887,313
20-Apr-20,5074,322,1969,5064,33869,10100,19301,2927,2745,27056,19084,583,3153,1736,31503,11677,1984,3027,24520,39643,13678,874,31993,2463,5799,4508,433,6680,627,1293,1447,88722,1971,3815,247512,12913,2355,1954,33231,5090,4434,1634,7232,19455,3219,8986,813,12084,4498,906,317
21-Apr-20,5317,330,2260,5251,35814,10440,19857,3098,2931,27868,19662,585,3634,1766,33053,12090,2024,3177,24851,41199,14193,887,32964,2523,5937,4710,437,6843,643,1436,1491,92373,1971,3945,251959,13722,2805,2002,34522,5361,4605,1754,7389,20192,3302,9632,816,12280,4620,928,322
22-Apr-20,5598,336,2391,5459,37688,10871,21919,3206,3200,28576,20493,591,3744,1800,35107,12436,2210,3353,25253,42944,14775,906,33961,2618,6131,4892,439,7074,679,1676,1588,95411,2210,4092,257607,14114,2893,2059,35679,5841,4758,1857,7835,21061,3454,10269,820,12494,4845,960,326
23-Apr-20,5825,338,2598,5768,39556,11182,22578,3361,3308,29647,21476,595,3921,1831,36932,12436,2481,3467,25735,46023,15735,936,35288,2781,6312,5148,442,7380,709,1895,1670,99989,2376,4225,263529,14688,3015,2126,37053,6194,4916,1955,8262,21941,3620,11002,824,12752,5050,980,331
24-Apr-20,6026,340,2807,6043,41317,12171,23414,3528,3442,30533,22014,599,4442,1864,39650,13617,2773,3753,26138,50969,16616,964,36634,2953,6614,5429,444,7782,748,2110,1719,102772,2521,4373,271659,15154,3015,2177,38652,6511,5068,2038,8722,22802,3777,12372,826,12977,5354,1019,348
25-Apr-20,6213,340,2907,6280,42565,12884,24061,3699,3576,30836,22566,603,5087,1885,41773,14304,3055,3882,26511,53348,17766,989,37199,3127,6794,5710,445,8232,803,2394,1790,106074,2660,4547,282212,15563,3192,2253,40046,6875,5243,2146,9186,23768,3952,12975,841,13316,5686,1025,360
26-Apr-20,6417,342,2998,6526,43673,13355,24747,3841,4034,31527,22830,605,5460,1893,43895,15011,3173,4054,26773,54823,18580,1014,37760,3237,6961,5906,448,8480,867,2517,1864,109465,2724,4642,288114,15943,3251,2311,41164,7274,5243,2211,9662,24617,4122,12975,849,13520,5911,1050,367
27-Apr-20,6537,346,3064,6716,45172,13793,25513,3892,4162,32136,23592,606,5856,1917,45878,15960,3327,4133,27068,56462,19485,1022,38210,3369,7137,6090,449,8678,941,2880,1936,111478,2823,4726,292065,16324,3279,2353,42048,7491,5611,2243,9914,25276,4239,13545,854,13686,6081,1076,388
28-Apr-20,6744,352,3122,6948,46414,14304,25821,3994,4575,32844,24217,606,6375,1951,48097,16579,3490,4360,27286,58302,20109,1038,39260,3624,7275,6340,451,9177,990,3280,2009,114246,2974,4802,295175,16766,3408,2385,43262,7603,5734,2311,10049,26111,4343,14346,861,13841,6289,1092,394
29-Apr-20,6916,356,3201,7202,48795,14743,26260,4106,4655,33192,25128,612,6841,1982,50349,17226,3734,4523,27659,60252,20846,1054,40391,4635,7398,6561,451,9515,1033,3760,2054,116755,3213,4951,299760,17299,3473,2446,44366,8123,5881,2372,10363,26973,4500,14966,861,14070,6519,1107,403
30-Apr-20,7063,356,3269,7648,50322,15261,27238,4323,4734,33690,25832,617,7142,2013,52908,17818,4235,4695,27998,62177,21742,1094,41367,5125,7529,6814,452,10015,1067,4232,2146,119282,3411,5040,304441,18018,3617,2510,45759,8477,6095,2448,10731,27991,4676,15852,865,14326,6853,1124,414
1-May-20,7294,365,3304,7961,52253,15766,28393,4658,4918,34725,26805,618,7877,2034,56049,18629,4446,4864,28704,64311,23465,1121,42333,5711,7796,7209,452,10920,1107,4781,2310,121190,3513,5075,308383,18736,3748,2578,46968,8755,6254,2523,11889,29112,4832,16905,878,14634,7313,1151,419
2-May-20,7611,366,3358,8364,53696,16224,28975,4797,5038,35460,27627,618,8633,2061,58500,19293,4745,4864,29138,66263,24473,1151,43187,6208,8107,7438,454,11504,1153,5260,2429,123717,3732,5407,313046,19333,3851,2635,48300,9044,6485,2586,12659,30394,4986,17740,885,15001,7660,1181,429
3-May-20,7885,369,3417,8640,54947,16624,28975,5016,5208,36078,27928,619,9168,2061,61485,19930,5029,5112,29338,68087,25462,1184,43703,6640,8341,7550,454,11664,1191,5597,2518,126744,3849,5490,316484,19912,3971,2680,49260,9288,6617,2629,13176,31394,5176,18674,897,15181,7964,1191,435
4-May-20,8110,371,3461,8919,56191,16902,29610,5170,5288,36892,28709,619,9701,2106,63830,20502,5244,5236,29671,69087,26389,1204,43947,7212,8707,7876,456,11843,1225,5988,2588,128269,4029,5490,319022,20473,4043,2759,50084,9416,6748,2666,13528,32179,5324,19494,902,15459,8236,1220,444
5-May-20,8436,372,3522,9304,58752,17364,30253,5322,5371,37429,29196,624,10202,2127,65958,21028,5456,5808,29995,70271,27116,1225,44396,7851,8877,8186,456,12253,1266,6335,2636,130593,4136,5528,321261,20968,4122,2838,50949,10296,6836,2719,13639,33214,5453,20264,905,15593,8565,1238,452
